Project Name,Phase,Planned Duration,Actual Duration,Project Budget,Estimate of Actual Costs-End of Phase,Total Phase Actual Spending
3M113P.S. 241 - MANHATTANSCA CIPFLOOD ELIMINATION,Design,152,502,80220,94609,93349
3M118P.S. 333 - MANHATTANSCA CIPEXTERIOR MASONRY/ROOFS/PARAPETS,Scope,135,191,167234,230822,225388
3M118P.S. 333 - MANHATTANSCA CIPEXTERIOR MASONRY/ROOFS/PARAPETS,Design,159,183,668934,489175,407782
3M145P.S. 145 - MANHATTANSCA CIPPLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Scope,154,60,47478,109824,109824
3M145P.S. 145 - MANHATTANSCA CIPPLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Design,159,133,188990,381113,381053
3M145WEST PREP ACADEMY - MANHATTANSCA CIPENY SUPPLEMENTAL COOLING,Scope,67,45,8069,1072,1072
3M145WEST PREP ACADEMY - MANHATTANSCA CIP RESOAFY15 RESO A AUDITORIUM UPGRADE,Scope,123,56,0,28760,10954
3M145P.S. 145 - MANHATTANSCA CIP RESOAFY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,123,107,0,9595,9595
3M149M811 SPED - MANHATTANSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,59,28,0,26994,19600
3M149M811 SPED - MANHATTANSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Design,135,64,33195,26681,24582
3M149M811 SPED - MANHATTANSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Construction,179,168,486853,240503,5909
3M149M811 SPED - MANHATTANSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",179,168,33195,27671,11913
3M342THE RIVERSIDE SCHOOL - MSCA CapacityNEW SCHOOL,Scope,134,158,1860643,867150,867150
3M163P.S. 163 - MANHATTANSCA CIPTCU REMOVAL & PLAYGROUND REDEVELOPMENT,Scope,116,90,36638,51770,51770
3M163P.S. 163 - MANHATTANSCA CIPTCU REMOVAL & PLAYGROUND REDEVELOPMENT,Design,150,111,146554,134378,132128
3M165P.S. 165 - MANHATTANSCA CIPEXT MASONRY/ROOFS,Scope,141,141,105658,93813,90074
3M165P.S. 165 - MANHATTANSCA CIPEXT MASONRY/ROOFS,Design,153,241,414527,356171,354884
3M165I.S. 862 - MANHATTANSCA CIP RESOAFY15 RESO A SCIENCE LAB UPGRADES,Scope,106,108,0,11124,11124
3M185P.S. 185 - MANHATTANSCA CIPPLAY YARD SURFACE DEFECTS,Scope,87,85,34950,50730,47750
3M185P.S. 185 - MANHATTANSCA CIPPLAY YARD SURFACE DEFECTS,Design,143,161,139800,79314,79314
3M191THE RIVERSIDE SCHOOL FOR MAKERSCA CIP RESOAFY17 RESO A LIBRARY UPGRADES,Scope,57,52,0,7733,7733
3M191THE RIVERSIDE SCHOOL FOR MAKERSCA CIP RESOAFY17 RESO A LIBRARY UPGRADES,Design,137,50,18000,31828,24774
