Project Name,Phase,Planned Duration,Actual Duration,Project Budget,Estimate of Actual Costs-End of Phase,Total Phase Actual Spending
28Q140P.S. 140 - QUEENSTrust For Public LanFY17 RESO A PLAYGROUND REDEVELOPMENT,Design,-6,298,210000,210000,210000
28Q142J.H.S. 142SCA Emergency LightiLL 41/16 COMPLIANCE,Scope,0,0,720,316,316
28Q142J.H.S. 142SCA Emergency LightiLL 41/16 COMPLIANCE,Design,165,138,2600,28954,28954
28Q142Q752 SPED - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,116,75000,74438,74438
28Q144P.S. 144 - QUEENSSCA CapacityADDITION,Scope,139,169,1309344,1039266,1036281
28Q144P.S. 144 - QUEENSSCA CapacityADDITION,Design,196,325,4189902,3563261,1753918
28Q144P.S. 144 - QUEENSSCA CIPELECTRICAL WORK FOR A/C INITIATIVE,Scope,0,0,3684,0,0
28Q144P.S. 144 - QUEENSSCA CIP RESOAFY17 RESO A SUPPLEMENTAL COOLING,Scope,62,49,0,7605,7605
28Q157J.H.S. 157 - QUEENSSCA CIP RESOAFY16 RESO A ROOM CONVERSIONS / DANCE STUDIO,Scope,120,24,0,12185,12185
28Q157J.H.S. 157 - QUEENSSCA CIP RESOAFY16 RESO A ROOM CONVERSIONS / DANCE STUDIO,Design,154,148,22347,73935,36707
28Q160P.S. 160 - QUEENSSCA CIPCHIMNEY/ROOFS/PARAPETS/FLOOD,Scope,141,191,154802,121892,120943
28Q160P.S. 160 - QUEENSSCA CIPCHIMNEY/ROOFS/PARAPETS/FLOOD,Design,159,286,609705,560467,449513
28Q160P.S. 160 - QUEENSSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,59,46,0,22007,22007
28Q160P.S. 160 - QUEENSSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Design,150,38,24462,29466,25063
28Q161P.S. 161 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,249,88,35000,34737,34737
28Q174P.S. 174 - QUEENSSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,123,102,0,16903,16903
28Q174P.S. 174 - QUEENSSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Design,154,156,33000,51095,19654
28Q174P.S. 174 - QUEENSSCA CIP RESOAFY16 RESO A SUPPLEMENTAL COOLING,Scope,62,42,0,9704,9704
28Q174P.S. 174 - QUEENSSCA CIP RESOAFY16 RESO A SUPPLEMENTAL COOLING,Design,94,107,18000,4078,4078
28Q174P.S. 174 - QUEENSSCA CIP RESOAFY16 RESO A ROOM CONV/FY16 RESO A SCIENCE LAB UPG,Scope,121,43,0,19073,4782
28Q174P.S. 174 - QUEENSSCA CIP RESOAFY16 RESO A ROOM CONV/FY16 RESO A SCIENCE LAB UPG,Design,152,82,45085,82705,21092
28Q174P.S. 174 - QUEENSSCA CIP RESOAFY16 RESO A ROOM CONV/FY16 RESO A SCIENCE LAB UPG,Construction,269,338,661249,466448,201088
28Q174P.S. 174 - QUEENSSCA CIP RESOAFY16 RESO A ROOM CONV/FY16 RESO A SCIENCE LAB UPG,"CM, F&E",269,338,86460,97059,87272
28Q175P.S. 175 - QUEENSSCA CIP RESOAFY16 RESO A SUPPLEMENTAL COOLING,Scope,62,35,0,8062,8062
28Q196P.S. 196 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,23,82,35000,34733,34733
28Q217I.S. 217 - QUEENSSCA CIPPLANYC BOILER/PLANYC CLIMATE CONTROL,Scope,78,40,111974,39744,39744
28Q217I.S. 217 - QUEENSSCA CIPPLANYC BOILER/PLANYC CLIMATE CONTROL,Design,155,128,447899,161306,159758
28Q217I.S. 217 - QUEENSDOE- RESOAFY17 RESO A ELECTRICAL SYSTEMS,Construction,141,141,175626,175627,175627
28Q440FOREST HILLS HSSCA CIPCONCRETE PAVED AREAS,Scope,115,118,69260,80811,80811
28Q440FOREST HILLS HSSCA CIPCONCRETE PAVED AREAS,Design,162,504,242410,782289,767164
28Q440FOREST HILLS HS - QUEENSSCA CIPHAZARDOUS VIOLATION/EXTERIOR DOORS,Scope,152,236,96945,42522,42522
28Q440FOREST HILLS HS - QUEENSSCA CIPHAZARDOUS VIOLATION/EXTERIOR DOORS,Design,154,175,385485,241053,234661
28Q440FOREST HILLS HSSCA Emergency LightiLL 41/16 COMPLIANCE,Scope,0,0,720,433,433
28Q440FOREST HILLS HSSCA Emergency LightiLL 41/16 COMPLIANCE,Design,165,138,2600,13152,13152
28Q470JAMAICA HSSCA CIPEXTERIOR STAIRS,Scope,97,261,18767,4429,4429
28Q470QUEENS COLLEGIATE SCHOOLSCA CIPWEST AREAWAY DRAINS,Scope,0,0,15000,1287,1287
23K298I.S. 363 - BROOKLYNSCA CIPENY AUDITORIUM UPGRADE,Scope,60,43,13420,13386,13386
23K298I.S. 363 - BROOKLYNSCA CIPENY AUDITORIUM UPGRADE,Design,152,59,49208,42515,29882
23K327P.S. 327 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,249,117,375000,372184,372184
23K396K396 SPED - BROOKLYNSCA CIPELEVATOR,Scope,94,52,21232,13901,1011
23K396K396 SPED - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,93,450000,446624,446624
24Q005I.S. 5 - QUEENSSCA CIPHVAC/PUBLIC ADDRESS SYSTEM,Scope,91,146,70650,56784,56784
24Q005I.S. 5 - QUEENSSCA CIPHVAC/PUBLIC ADDRESS SYSTEM,Design,155,281,282600,471858,358358
24Q005Q009 SPED - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,189,100000,99250,99250
24Q007P.S. 7 - QUEENSSCA CIPCLIMATE CONTROL/LOW VOLTAGE ELECTRICAL SYSTEM,Scope,152,333,154535,265870,263068
24Q007P.S. 7 - QUEENSSCA CIPCLIMATE CONTROL/LOW VOLTAGE ELECTRICAL SYSTEM,Design,153,180,618139,349667,187687
24Q007P.S. 7 - QUEENSSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,121,20,13192,1830,1830
24Q007P.S. 007 LOUIS F. SIMEONEDIIT - RESOAFY16 RESO A TECHNOLOGY,Purch & Install,22,449,35000,34732,34732
24Q007P.S. 007 LOUIS F. SIMEONEDIIT - RESOAFY16 RESO A TECHNOLOGY,Purch & Install,22,449,100000,99250,99250
24Q007P.S. 7 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,241,109,75000,74437,74437
24Q009Q009 SPED - QUEENSSCA CIPEXT MSNRY/PARAPET/FLOOD/ ACCESSIBILITY/FIRE ALARM,Scope,141,142,183234,172756,172756
24Q009Q009 SPED - QUEENSSCA CIPEXT MSNRY/PARAPET/FLOOD/ ACCESSIBILITY/FIRE ALARM,Design,152,76,719180,566110,452401
24Q012P.S. 12 - QUEENSSCA CIPBOILER REPLACE/ELEC SWITCH UPG/PLANYC CLIMATE CTRL,Scope,156,91,97135,78087,78087
24Q012P.S. 12 - QUEENSSCA CIPBOILER REPLACE/ELEC SWITCH UPG/PLANYC CLIMATE CTRL,Design,152,391,382655,445631,421772
24Q012P.S. 12 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,133,35000,34733,34733
24Q012P.S. 12 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,133,35000,34738,34738
24Q014P.S. 14 - QUEENSSCA CIPROOFS/PARAPETS/EXT MASONRY,Scope,141,139,158571,162951,162477
24Q014P.S. 14 - QUEENSSCA CIPROOFS/PARAPETS/EXT MASONRY,Design,150,150,629250,505957,504571
24Q014P.S. 14 - QUEENSSCA CIPROOFS/PARAPETS/EXT MASONRY,Construction,539,539,11346636,10358000,10048177
24Q014P.S. 14 - QUEENSSCA CIPROOFS/PARAPETS/EXT MASONRY,"CM, F&E",539,539,805440,388717,346387
24Q014P.S. 14 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,255,84,80000,79400,79400
24Q014P.S. 14 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,255,84,235000,233236,233236
24Q019P.S. 19 - QUEENSSCA CapacityADDITION,Scope,140,153,2387298,1832980,1820872
24Q019P.S. 19 - QUEENSSCA CapacityADDITION,Design,223,264,7639353,5269834,3645914
24Q019P.S. 19 - QUEENSSCA CIPELECTRICAL WORK FOR A/C INITIATIVE,Scope,0,0,3684,0,0
24Q049P.S. 49 - QUEENSSCA CapacityADDITION,Scope,219,226,788350,790853,737038
24Q049P.S. 49 - QUEENSSCA CapacityADDITION,Design,176,299,2522720,2452990,1917231
24Q049P.S. 49 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,249,76,35000,34738,34738
24Q049P.S. 49 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,249,76,70000,69467,69467
24Q058P.S. 58 - QUEENSTrust For Public LanFY18 RESO A PLAYGROUNDS,Scope,198,167,30000,30000,0
24Q061I.S. 61 - QUEENSSCA CIPMASONRY/ROOFS/PARAPETS,Scope,137,117,99199,67255,67255
28Q470QUEENS COLLEGIATE SCHOOL - QUEDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,41,35000,34731,34731
28Q505HILLCREST HS - QUEENSSCA CIP RESOAFY16 RESO A ATHLETIC FIELDS,Scope,121,97,0,9709,9709
28Q505HILLCREST HS - QUEENSSCA CIP RESOAFY16 RESO A ATHLETIC FIELDS,Design,154,171,20400,58438,38830
28Q505HILLCREST HS - QUEENSSCA CIP RESOAFY16 RESO A ATHLETIC FIELDS,Construction,209,162,299200,276479,226737
28Q505HILLCREST HS - QUEENSSCA CIP RESOAFY16 RESO A ATHLETIC FIELDS,"CM, F&E",209,162,20400,23814,18834
28Q505HILLCREST HS - QUEENSSCA Emergency LightiLL 41/16 COMPLIANCE,Scope,0,0,720,440,440
28Q505HILLCREST HS - QUEENSSCA Emergency LightiLL 41/16 COMPLIANCE,Design,165,138,2600,22278,22278
28Q595PATHWAYS TO GRADUATION - QSCA CIPEXTERIOR MASONRY,Scope,137,340,9828,10971,2938
28Q620THOMAS A. EDISON HS - QSCA CIP RESOAFY17 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,91,86,0,9582,9582
28Q620THOMAS A. EDISON HS - QSCA CIP RESOAFY17 RESO A ROOM CONVERSIONS/PARTITIONING,Design,142,14,32802,39289,35138
28Q620THOMAS A. EDISON HS - QSCA Emergency LightiLL 41/16 COMPLIANCE,Scope,0,0,720,61,61
28Q620THOMAS A. EDISON HS - QSCA Emergency LightiLL 41/16 COMPLIANCE,Design,165,138,2600,3413,3413
28Q680YOUNG WOMENS' LEADERSHIP SCHLSCA CIPROOF STRUCTURAL DAMAGE/EXTERIOR MASONRY,Scope,137,382,28767,50184,44033
28Q680YOUNG WOMENS' LEADERSHIP SCHLSCA CIPROOF STRUCTURAL DAMAGE/EXTERIOR MASONRY,Design,151,169,111341,108328,88421
28Q686QUEENS METROPOLITAN HIGH SCHLSCA CIP RESOAFY16 RESO A GREEN ROOF,Scope,135,155,0,1197,1197
28Q686METROPOLITAN EXPEDITIONARY LEADIIT - RESOAFY14 RESO A TECHNOLOGY,Purch & Install,22,122,50000,49608,49608
28Q686Q233 SPED - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,119,127,35000,34738,34738
28Q690HS FOR LAW ENFORCEMENT - QUEENDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,280,115,35000,34738,34738
28Q690Q752 SPED - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,116,75000,74438,74438
28Q695QUEENS GATEWAY TO HEALTH SCIENDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,241,139,35000,34735,34735
29Q033P.S. 33 - QUEENSSCA CIPROOF REPAIR/PARAPETS/EXTERIOR MASONRY,Scope,136,151,139554,103816,99579
29Q033P.S. 33 - QUEENSSCA CIPROOF REPAIR/PARAPETS/EXTERIOR MASONRY,Design,157,241,553784,365514,334209
29Q033P.S. 33 - QUEENSSCA CIPTCU REMOVAL/PLAYGROUND REDEVELOPMENT,Scope,185,81,21127,50192,49245
29Q033P.S. 33 - QUEENSSCA CIPTCU REMOVAL/PLAYGROUND REDEVELOPMENT,Design,181,125,84510,76993,76993
29Q033P.S. 33 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,59,70,35000,34738,34738
29Q033P.S. 33 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,241,70,84000,83369,83369
29Q036P.S. 36 - QUEENSSCA CIPPLANYC CLIMATE CTRL/PLANYC BOILER CONVERSION,Scope,159,49,97450,79544,75598
29Q036P.S. 36 - QUEENSSCA CIPPLANYC CLIMATE CTRL/PLANYC BOILER CONVERSION,Design,156,174,380870,221303,221303
29Q036P.S. 36 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,249,132,35000,34738,34738
29Q036P.S. 36 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,249,132,45000,44654,44654
29Q037P.S. 37 - QUEENSSCA CIPPLANYC BOILER/PLANYC CLIMATE CONTROL,Scope,154,59,92410,84034,76604
29Q037P.S. 37 - QUEENSSCA CIPPLANYC BOILER/PLANYC CLIMATE CONTROL,Design,154,115,369639,196685,195183
29Q037P.S. 37 - QUEENSSCA CIPFLOOD/FA/EXT MASONRY/ELEVATOR/PARAPETS/FLOOD,Scope,634,810,245222,267434,259680
29Q037P.S. 37 - QUEENSSCA CIPFLOOD/FA/EXT MASONRY/ELEVATOR/PARAPETS/FLOOD,Design,150,315,967305,816454,651470
29Q037P.S. 37 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,70,35000,34737,34737
29Q052P.S. 52 - QUEENSSCA CIPWATER PENETRATION/PARAPETS,Scope,140,166,31266,53208,50736
29Q052P.S. 52 - QUEENSSCA CIPWATER PENETRATION/PARAPETS,Design,152,156,121402,94780,75020
29Q052P.S. 52 - QUEENSRCT CIPELECTRICAL LIGHTING FIXTURES,Scope,0,0,19725,1088,1088
29Q052P.S. 52 - QUEENSRCT CIPELECTRICAL LIGHTING FIXTURES,Design,123,65,72325,4474,4474
29Q052P.S. 52 - QUEENSRCT CIPELECTRICAL LIGHTING FIXTURES,Construction,269,269,765988,690414,682103
16K040DISTRICT OFFICE #21 - BROOKLYNSCA CIP RESOAFY13 RESO A SUPPLEMENTAL COOLING,Scope,60,44,0,1406,1406
16K040P.S. 40 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,264,84,200000,198498,198498
16K057J.H.S. 57 - BROOKLYNSCA CIPPUBLIC ADDRESS SYSTEM REPLACEMENT,Scope,91,56,17700,8615,8615
16K057J.H.S. 57 - BROOKLYNSCA CIPPUBLIC ADDRESS SYSTEM REPLACEMENT,Design,154,76,64900,34766,34594
16K057J.H.S. 57 - BROOKLYNSCA CIPPUBLIC ADDRESS SYSTEM REPLACEMENT,Construction,299,303,687350,619351,373469
16K057J.H.S. 57 - BROOKLYNSCA CIPPUBLIC ADDRESS SYSTEM REPLACEMENT,"CM, F&E",299,303,159300,78436,61698
16K304YOUNG SCHOLAR'S ACADEMY - BKLNSCA CIPSTRUCTURAL DEFECTS/EXT MASONRY,Scope,138,138,56655,51916,51394
16K304YOUNG SCHOLAR'S ACADEMY - BKLNSCA CIPSTRUCTURAL DEFECTS/EXT MASONRY,Design,155,199,226620,158504,129305
16K304YOUNG SCHOLARS' ACADEMY FOR DIDIIT - RESOAFY16 RESO A TECHNOLOGY,Purch & Install,22,175,250000,248125,248125
16K308P.S. 308 - BROOKLYNSCA CIP RESOAFY14 RESO A LIBRARY UPGRADE,Scope,123,102,0,35809,35809
16K308P.S. 308 - BROOKLYNSCA CIP RESOAFY14 RESO A LIBRARY UPGRADE,Design,139,141,45480,150108,144328
16K308P.S. 308 - BROOKLYNSCA CIP RESOAFY14 RESO A LIBRARY UPGRADE,Construction,179,471,667040,620208,355207
16K308P.S. 308 - BROOKLYNSCA CIP RESOAFY14 RESO A LIBRARY UPGRADE,"CM, F&E",179,471,207105,282798,184033
16K309P.S. 309 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,252,154,100000,99250,99250
16K335P.S. 335 - BROOKLYNSCA CIPPARTIAL ACESSIBILITY,Scope,141,118,20312,18038,18038
16K335P.S. 335 - BROOKLYNSCA CIPPARTIAL ACESSIBILITY,Design,167,243,74478,70834,29494
16K455BOYS & GIRLS HS - BROOKLYNSCA CIPREPLACE CHILLERS & COOLING TOWERS,Scope,181,98,47788,28658,28658
16K455BOYS & GIRLS HS - BROOKLYNSCA CIPREPLACE CHILLERS & COOLING TOWERS,Design,183,168,191152,116976,115272
17K002I.S. 2 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,125,35000,34733,34733
17K006P.S. 6 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,59,35000,34738,34738
17K006P.S. 6 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,59,200000,198497,198497
17K022P.S. 705 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,94,200000,198498,198498
17K091P.S. 91 - BROOKLYNSCA CIPSTRUCTURAL DEFECTS,Scope,155,457,5505,23873,20736
17K091P.S. 91 - BROOKLYNSCA CIPSTRUCTURAL DEFECTS,Design,154,243,20184,42819,38207
17K091P.S. 91 - BROOKLYNSCA CIPSTRUCTURAL DEFECTS,Construction,179,154,213765,228748,144524
17K091P.S. 91 - BROOKLYNSCA CIPSTRUCTURAL DEFECTS,"CM, F&E",179,154,49542,35742,35290
17K138P.S. 138 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,234,54,64000,63516,63516
17K161P.S. 161 - BROOKLYNSCA CIPFLOOD ELIMINATION,Scope,136,162,32970,39670,39670
17K161P.S. 161 - BROOKLYNSCA CIPFLOOD ELIMINATION,Design,151,239,131880,97965,74657
17K167P.S. 167 - BROOKLYNSCA CIPEXT MASONRY - WATER PENETRATION/PARAPETS/ROOFS,Scope,135,120,151559,140135,138675
17K167P.S. 167 - BROOKLYNSCA CIPEXT MASONRY - WATER PENETRATION/PARAPETS/ROOFS,Design,159,211,606241,128583,128583
29Q052P.S. 52 - QUEENSRCT CIPELECTRICAL LIGHTING FIXTURES,"CM, F&E",269,269,177525,62105,62105
29Q052P.S. 52 - QUEENSSCA CIPTCU REMOVAL & PLAYGROUND REDEVELOPMENT,Scope,187,147,27718,45702,42919
29Q052P.S. 52 - QUEENSSCA CIPTCU REMOVAL & PLAYGROUND REDEVELOPMENT,Design,182,150,101634,114815,114815
29Q052P.S. 52 - QUEENSSCA CIPTCU REMOVAL & PLAYGROUND REDEVELOPMENT,Construction,364,364,1076401,976737,876551
29Q052P.S. 52 - QUEENSSCA CIPTCU REMOVAL & PLAYGROUND REDEVELOPMENT,"CM, F&E",364,364,249466,140178,128800
29Q059I.S. 59 - QUEENSSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,30,11252,2453,2453
29Q109I.S. 109 - QUEENSSCA CIP RESOAFY15 RESO A SCIENCE LAB UPGRADES,Scope,105,78,0,10007,3323
29Q109I.S. 109 - QUEENSSCA CIP RESOAFY15 RESO A SCIENCE LAB UPGRADES,Design,153,72,33448,42830,34589
29Q116P.S. 116 - QUEENSSCA CIPEXT MASONRY/ROOFS/CONCRETE ROOF DECK/PARAPETS,Scope,141,217,142560,142722,142722
29Q116P.S. 116 - QUEENSSCA CIPEXT MASONRY/ROOFS/CONCRETE ROOF DECK/PARAPETS,Design,154,216,563200,522277,492896
29Q131P.S. 131 - QUEENSSCA CapacityADDITION,Scope,174,175,1362869,786234,718812
29Q131P.S. 131 - QUEENSSCA CapacityEARLY DRYWELL PACKAGE,Scope,0,0,44834,1366,1366
29Q131P.S. 131 - QUEENSSCA CapacityEARLY DRYWELL PACKAGE,Design,63,101,143469,5462,5462
29Q131P.S. 131 - QUEENSSCA CIPROOFS/EXT MASONRY/PARAPETS,Scope,140,100,94509,23151,23151
29Q131P.S. 131 - QUEENSSCA CIPROOFS/EXT MASONRY/PARAPETS,Design,156,192,371910,93274,93274
29Q131P.S. 131 - QUEENSSCA CIPTCU REMOVAL,Scope,3,3,6761,2824,2824
29Q131P.S. 131 - QUEENSSCA CIPTCU REMOVAL,Design,154,101,24790,12708,12708
29Q132P.S. 132 - QUEENSSCA CIPEXT MASONRY/ROOFS/PARAPETS/FLOOD ELIMINATION,Scope,139,223,119426,127931,127454
29Q132P.S. 132 - QUEENSSCA CIPEXT MASONRY/ROOFS/PARAPETS/FLOOD ELIMINATION,Design,153,170,470089,147199,139327
29Q132P.S. 132 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,264,86,35000,34738,34738
29Q132P.S. 132 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,264,86,100000,99244,99244
29Q136P.S. 136 - QUEENSSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,91,37,0,27205,27158
29Q136P.S. 136 - QUEENSSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Design,137,78,23101,28435,26379
29Q136P.S. 136 - QUEENSSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Construction,179,175,338818,308874,3874
29Q136P.S. 136 - QUEENSSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",179,175,23101,31581,8866
29Q138P.S. 138 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,52,35000,34657,34657
29Q147P.S. 147 - QUEENSSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,90,122,0,9979,9979
29Q156P.S. 156 - QUEENSSCA CIPTCU REMOVAL/PLAYGROUND REDEVELOPMENT,Scope,90,72,49125,101442,97217
29Q156P.S. 156 - QUEENSSCA CIPTCU REMOVAL/PLAYGROUND REDEVELOPMENT,Design,136,72,196500,180623,180409
29Q156QUEENS UNITED MIDDLE SCHOOLDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,234,109,35000,34730,34730
29Q176P.S. 176 - QUEENSSCA CapacityADDITION,Scope,170,168,1004940,1071479,1051571
29Q176P.S. 176 - QUEENSSCA CapacityADDITION,Design,202,240,3768525,4288932,3866799
29Q176P.S. 176 - QUEENSSCA CIPPLAYGROUND REDEVELOPMENT,Scope,94,94,50820,90128,75928
29Q176P.S. 176 - QUEENSSCA CIPPLAYGROUND REDEVELOPMENT,Design,135,184,203281,252699,251291
29Q181P.S. 181 - QUEENSSCA CIPFLOORS & WALLS/ROOFS/PARAPETS/EXT MASONRY/FLOOD,Scope,97,173,108746,120179,117714
29Q181P.S. 181 - QUEENSSCA CIPFLOORS & WALLS/ROOFS/PARAPETS/EXT MASONRY/FLOOD,Design,156,334,410965,421629,359882
29Q181P.S. 181 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,241,115,35000,34734,34734
29Q192PATHWAYS COLL. PREP SCHOOL - QDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,59,59,45000,45000,44660
29Q231I.S. 231 - QUEENSSCA CIP RESOAFY14 RESO A PLAYGROUND REDEVELOPMENT,Scope,91,88,0,31588,31588
29Q231I.S. 231 - QUEENSSCA CIP RESOAFY14 RESO A PLAYGROUND REDEVELOPMENT,Design,144,152,30000,122279,122279
29Q238I.S. 238 - QUEENSSCA Emergency LightiLL 41/16 COMPLIANCE,Scope,0,0,720,360,360
17K191P.S. 191 - BROOKLYNSCA CIPEXTERIOR MASONRY/PARAPETS/ROOFS,Scope,136,213,67541,76815,50420
17K191P.S. 191 - BROOKLYNSCA CIPEXTERIOR MASONRY/PARAPETS/ROOFS,Design,150,154,260107,201300,151045
17K191P.S. 191 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,108,102000,101229,101229
17K210I.S. 394 - BROOKLYNSCA CIPWATER PENETRATION,Scope,137,113,26520,21317,21317
17K210I.S. 394 - BROOKLYNSCA CIPWATER PENETRATION,Design,154,148,97240,95600,69950
17K249P.S. 249 - BROOKLYNSCA CIPLOW VOLT/PLANYC CLIMATE CTRL/PLANYC BOILER CONV,Scope,231,123,118005,119342,113619
17K249P.S. 249 - BROOKLYNSCA CIPLOW VOLT/PLANYC CLIMATE CTRL/PLANYC BOILER CONV,Design,156,190,472020,351683,351683
17K289P.S. 289 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,53,64000,63518,63518
17K316P.S. 316 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,88,88,150000,148875,148875
17K320P.S. 375 - BROOKLYNSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,154,101,106670,56635,23376
17K320P.S. 375 - BROOKLYNSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,152,217,417946,132903,114363
17K320P.S. 375 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,243,195,155000,153834,153834
17K390M.S. 354 - BROOKLYNSCA CIPLIBRARY UPGRADE,Scope,126,78,20622,44334,43491
17K390M.S. 354 - BROOKLYNSCA CIPLIBRARY UPGRADE,Design,137,54,75614,167326,165741
17K390M.S. 354 - BROOKLYNSCA CIPLIBRARY UPGRADE,Construction,269,390,800821,841094,632788
17K390M.S. 354 - BROOKLYNSCA CIPLIBRARY UPGRADE,"CM, F&E",269,390,334463,291684,259725
17K390M.S. 354 - BROOKLYNSCA CIPPLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,Scope,159,43,96135,69486,64256
17K390M.S. 354 - BROOKLYNSCA CIPPLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,Design,156,173,384542,220249,167589
17K390M.S. 354 - BROOKLYNSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,124,21,3731,1781,1781
17K398P.S. 398 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,259,92,50000,49623,49623
17K398P.S. 770 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,259,123,100000,99249,99249
17K398P.S. 770 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,259,122,75000,74438,74438
17K399P.S. 399 - BROOKLYNSCA CIP RESOAFY16 RESO A SCIENCE LAB UPGRADES,Scope,105,233,0,13864,13864
17K399P.S. 399 - BROOKLYNSCA CIP RESOAFY16 RESO A SCIENCE LAB UPGRADES,Design,156,167,15300,47547,45392
17K399P.S. 399 - BROOKLYNSCA CIP RESOAFY16 RESO A SCIENCE LAB UPGRADES,Construction,179,177,224400,124968,37245
17K399P.S. 399 - BROOKLYNSCA CIP RESOAFY16 RESO A SCIENCE LAB UPGRADES,"CM, F&E",179,177,96970,97834,8429
17K440THE INTERNATIONAL HS - BKLYNSCA CIPMASONRY/WINDOWS/PARAPETS/ROOFS/FLOOD ELIMINAITON,Scope,135,136,314056,218214,206016
17K440THE INTERNATIONAL HS - BKLYNSCA CIPMASONRY/WINDOWS/PARAPETS/ROOFS/FLOOD ELIMINAITON,Design,152,151,1256220,714904,626018
17K440HS FOR GLOBAL CITIZENSHIP - KDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,106,100000,99248,99248
